locus_tag	ftype	length_bp	gene	EC_number	COG	product
LEFGBFNB_00001	CDS	1329	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
LEFGBFNB_00002	CDS	849	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
LEFGBFNB_00003	CDS	306				hypothetical protein
LEFGBFNB_00004	CDS	753				hypothetical protein
LEFGBFNB_00005	CDS	816				hypothetical protein
LEFGBFNB_00006	CDS	312	cynT	4.2.1.1	COG0288	Carbonic anhydrase
LEFGBFNB_00007	CDS	1434	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
LEFGBFNB_00008	CDS	1452	xylE			D-xylose-proton symporter
LEFGBFNB_00009	CDS	1302	glyA1	2.1.2.1	COG0112	Serine hydroxymethyltransferase 1
LEFGBFNB_00010	CDS	231				hypothetical protein
LEFGBFNB_00011	CDS	168				hypothetical protein
LEFGBFNB_00012	CDS	837				hypothetical protein
LEFGBFNB_00013	CDS	714				hypothetical protein
LEFGBFNB_00014	CDS	180				hypothetical protein
LEFGBFNB_00015	CDS	252				hypothetical protein
LEFGBFNB_00016	CDS	450				hypothetical protein
LEFGBFNB_00017	CDS	1170				hypothetical protein
LEFGBFNB_00018	CDS	1707	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
LEFGBFNB_00019	CDS	93				hypothetical protein
LEFGBFNB_00020	CDS	96				hypothetical protein
LEFGBFNB_00021	CDS	297				hypothetical protein
LEFGBFNB_00022	CDS	651				hypothetical protein
LEFGBFNB_00023	CDS	612		2.3.-.-	COG0454	Putative acetyltransferase OgpAT
LEFGBFNB_00024	CDS	963				hypothetical protein
LEFGBFNB_00025	CDS	1434	icl	4.1.3.1	COG2224	Isocitrate lyase
LEFGBFNB_00026	CDS	414				hypothetical protein
LEFGBFNB_00027	CDS	447	malT_1			HTH-type transcriptional regulator MalT
LEFGBFNB_00028	CDS	1608	mdtD			Putative multidrug resistance protein MdtD
LEFGBFNB_00029	CDS	1569		7.2.2.10		Calcium-transporting ATPase 1
LEFGBFNB_00030	CDS	288				hypothetical protein
LEFGBFNB_00031	CDS	576				hypothetical protein
LEFGBFNB_00032	CDS	1581	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
LEFGBFNB_00033	CDS	2388				hypothetical protein
LEFGBFNB_00034	CDS	1440				hypothetical protein
LEFGBFNB_00035	CDS	381				hypothetical protein
LEFGBFNB_00036	CDS	171				hypothetical protein
LEFGBFNB_00037	CDS	702				hypothetical protein
LEFGBFNB_00038	CDS	8220				hypothetical protein
LEFGBFNB_00039	CDS	1134	pseC	2.6.1.92	COG0399	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
LEFGBFNB_00040	CDS	981	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
LEFGBFNB_00041	CDS	285				hypothetical protein
LEFGBFNB_00042	CDS	1011				hypothetical protein
LEFGBFNB_00043	CDS	600	fmt_1	2.1.2.9		Methionyl-tRNA formyltransferase
LEFGBFNB_00044	CDS	1188				hypothetical protein
LEFGBFNB_00045	CDS	1296				putative sugar-binding periplasmic protein
LEFGBFNB_00046	CDS	669				hypothetical protein
LEFGBFNB_00047	CDS	348				hypothetical protein
LEFGBFNB_00048	CDS	198				hypothetical protein
LEFGBFNB_00049	CDS	1002				hypothetical protein
LEFGBFNB_00050	CDS	981	araP_1		COG1175	L-arabinose transport system permease protein AraP
LEFGBFNB_00051	CDS	105				hypothetical protein
LEFGBFNB_00052	CDS	942	lacF_1			Lactose transport system permease protein LacF
LEFGBFNB_00053	CDS	951	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
LEFGBFNB_00054	CDS	1347				hypothetical protein
LEFGBFNB_00055	CDS	1251	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
LEFGBFNB_00056	CDS	345				hypothetical protein
LEFGBFNB_00057	CDS	675				hypothetical protein
LEFGBFNB_00058	CDS	726	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
LEFGBFNB_00059	CDS	696	ribM			Riboflavin/roseoflavin transporter RibM
LEFGBFNB_00060	CDS	972				hypothetical protein
LEFGBFNB_00061	CDS	1203	macB	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
LEFGBFNB_00062	CDS	414				hypothetical protein
LEFGBFNB_00063	CDS	2034				hypothetical protein
LEFGBFNB_00064	CDS	351		3.9.1.-	COG0537	Purine nucleoside phosphoramidase
LEFGBFNB_00065	CDS	1098			COG1702	PhoH-like protein
LEFGBFNB_00066	CDS	453	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
LEFGBFNB_00067	tRNA	93				tRNA-Gly(acc)
LEFGBFNB_00068	CDS	1380	allB	3.5.2.5	COG0044	Allantoinase
LEFGBFNB_00069	CDS	354				hypothetical protein
LEFGBFNB_00070	CDS	1290				hypothetical protein
LEFGBFNB_00071	CDS	360	purR_1			HTH-type transcriptional repressor PurR
LEFGBFNB_00072	CDS	1416	gltP		COG1301	Proton/glutamate-aspartate symporter
LEFGBFNB_00073	CDS	99				hypothetical protein
LEFGBFNB_00074	CDS	453				hypothetical protein
LEFGBFNB_00075	CDS	564	yjcG	3.1.-.-	COG1514	Putative phosphoesterase YjcG
LEFGBFNB_00076	CDS	1101	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
LEFGBFNB_00077	CDS	345	tatB			Sec-independent protein translocase protein TatB
LEFGBFNB_00078	CDS	942	htrA			Putative serine protease HtrA
LEFGBFNB_00079	CDS	933	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
LEFGBFNB_00080	CDS	450				hypothetical protein
LEFGBFNB_00081	CDS	864	mcrA_1	1.5.3.-		Mitomycin radical oxidase
LEFGBFNB_00082	CDS	291				hypothetical protein
LEFGBFNB_00083	CDS	2259	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
LEFGBFNB_00084	CDS	414				hypothetical protein
LEFGBFNB_00085	CDS	231				hypothetical protein
LEFGBFNB_00086	CDS	180				hypothetical protein
LEFGBFNB_00087	CDS	402	hin		COG1961	DNA-invertase hin
LEFGBFNB_00088	CDS	984	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
LEFGBFNB_00089	CDS	1554				hypothetical protein
LEFGBFNB_00090	CDS	294				hypothetical protein
LEFGBFNB_00091	CDS	414				hypothetical protein
LEFGBFNB_00092	CDS	351				hypothetical protein
LEFGBFNB_00093	CDS	204				hypothetical protein
LEFGBFNB_00094	CDS	1437				hypothetical protein
LEFGBFNB_00095	CDS	372				hypothetical protein
LEFGBFNB_00096	CDS	957				hypothetical protein
LEFGBFNB_00097	CDS	579				hypothetical protein
LEFGBFNB_00098	CDS	459	recX		COG2137	Regulatory protein RecX
LEFGBFNB_00099	CDS	903				hypothetical protein
LEFGBFNB_00100	CDS	690	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
LEFGBFNB_00101	CDS	810				hypothetical protein
LEFGBFNB_00102	CDS	3843				hypothetical protein
LEFGBFNB_00103	CDS	717	clpP2	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit 2
LEFGBFNB_00104	CDS	642	clpP1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit 1
LEFGBFNB_00105	CDS	1464	tig	5.2.1.8	COG0544	Trigger factor
LEFGBFNB_00106	tRNA	75				tRNA-Pro(tgg)
LEFGBFNB_00107	tRNA	74				tRNA-Gly(tcc)
LEFGBFNB_00108	CDS	936	cysK1	2.5.1.47	COG0031	O-acetylserine sulfhydrylase
LEFGBFNB_00109	CDS	1665				hypothetical protein
LEFGBFNB_00110	CDS	936	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
LEFGBFNB_00111	CDS	825	yteP_1		COG4209	putative multiple-sugar transport system permease YteP
LEFGBFNB_00112	CDS	948				hypothetical protein
LEFGBFNB_00113	CDS	852	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
LEFGBFNB_00114	CDS	1272	codA	3.5.4.1	COG0402	Cytosine deaminase
LEFGBFNB_00115	CDS	732	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
LEFGBFNB_00116	CDS	1038				hypothetical protein
LEFGBFNB_00117	CDS	1191				hypothetical protein
LEFGBFNB_00118	CDS	405				hypothetical protein
LEFGBFNB_00119	CDS	153				hypothetical protein
